step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.35339067692058,0,0,80.67641712523185,616.2640062956403,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.32382476539745,2,0,88.18130583937761,559.2076979098802,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.76247308645986,0,0,88.81636765525448,604.1623771706854,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.65539863952624,0,0,85.05913487544366,577.5282354210078,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.2413073906465,0,0,88.28925613268547,583.7112869569993,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.48846415944363,0,0,82.35765311855444,528.5055993551988,0
6,6.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.6246248013782,1,0,84.4373382404338,595.1163513699387,0
7,7.0,0,Healthy,0,keep_running,0,Healthy,1.2,68.287602949672,0,0,89.82085618450628,607.1579799577244,0
8,8.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.13730599440841,0,48,87.44975426421877,596.2219816270231,0
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.44829787226416,0,0,87.22839469268794,545.0029117510553,0
10,10.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.30086561781471,0,0,88.69059259296608,552.3889352050368,0
11,11.0,0,Healthy,0,keep_running,0,Healthy,1.2,58.20836155603417,0,0,84.29282810617245,616.6529655070028,0
12,12.0,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,60.81186329272386,0,0,82.6612311472653,627.3528917140977,0
13,13.0,2,MaintenanceRequired,1,power_cap,2,MaintenanceRequired,0.06,68.64153927025241,6,48,73.0095428691271,645.6159814743215,1
14,14.0,2,MaintenanceRequired,1,power_cap,2,MaintenanceRequired,0.06,71.29959790189555,4,0,60.63983423122011,645.7948534587507,0
15,15.0,2,MaintenanceRequired,1,power_cap,0,Healthy,0.5293151269581414,81.70684873041859,5,0,77.47257458432635,630.4517313399087,2
16,16.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.450700730048936,0,0,82.76503696895345,610.2501070750778,0
