step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.63787648714803,0,0,91.41259315987352,631.880309499409,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.231887362681235,0,0,84.9111102114046,594.3070914661763,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.56493960684011,1,0,91.51707771232182,581.5039108558917,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.35524130994914,0,0,84.58919007099261,595.1098385390201,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,67.68349646268956,0,0,94.72399909489667,554.2697493383278,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.42181674404552,1,0,86.89939223229214,541.7402700425338,0
6,6.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.883253069531406,0,0,88.4153626805323,580.2749966652051,0
7,7.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.3582818246399,0,0,89.1598422059788,613.9676450448048,0
8,8.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.31496875826937,1,0,85.75696978582448,556.0826192344399,0
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.748411916409665,0,0,87.38504361844252,603.2444943946781,0
10,10.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.97079057187451,0,0,88.44957814506621,602.3648030839906,0
11,11.0,0,Healthy,0,keep_running,1,Degraded,1.2,64.04883241911665,0,0,84.12944065373007,565.4064876576963,0
12,12.0,1,Degraded,1,power_cap,0,Healthy,0.8734715694714693,78.2652843052853,0,0,82.3321986505087,705.189377839809,0
13,13.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.31351368242494,0,0,87.78073851620731,623.4264184041945,0
14,14.0,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,67.08048043333648,1,0,87.76349193576196,597.0109454442756,0
15,15.0,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,65.17101693292777,6,31,40.89797736719467,155.47104981159447,1
16,16.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.22890810467402,0,0,81.15575015116328,623.9892702244761,0
17,17.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.2624446398147,0,48,94.00664187053015,524.4079243004132,0
18,18.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.73126722999216,0,0,86.10384504582788,604.7036578044643,0
19,19.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.29934805876869,1,0,87.24707389365098,634.6735260291696,0
20,20.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.16771088787289,1,0,91.943805643813,620.4551491537827,0
21,21.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.25655444365911,0,0,92.42048476771348,601.7147023548679,0
22,22.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.67050809263118,0,0,91.10675907298588,551.1682563330509,0
23,23.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.91825483520386,1,0,94.54455784440154,589.859464457209,0
24,24.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.69788363362201,0,0,92.76542843002011,596.2877131373433,0
25,25.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.2318471549141,0,0,87.2874539873017,600.5725479348374,0
26,26.0,0,Healthy,0,keep_running,0,Healthy,1.2,67.35859608214261,0,0,81.86422471874126,508.79996520657284,0
27,27.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.91149119729198,0,0,89.28404140434394,647.2075835514751,0
28,28.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.37172584411266,1,0,89.66494515688497,544.0308684786627,0
