step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.78741250292138,0,0,83.41983862418803,651.4362448215173,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.67478954851486,0,0,84.13844479849745,631.2741900036425,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.85698054840604,0,0,94.47525300333083,542.6968979155856,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.17305142025628,0,0,85.3079659396656,545.4422285587297,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.92397434479678,0,0,89.63231548971316,568.9726934768084,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.73920853375101,0,0,86.20810092546273,664.6583684211586,0
6,6.0,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,64.67733075632779,0,0,87.72535574306299,642.0611252548814,0
7,7.0,2,MaintenanceRequired,1,power_cap,2,MaintenanceRequired,-0.10232085662405355,79.62320856624054,6,0,58.35204930807772,622.8375188155179,2
8,8.0,2,MaintenanceRequired,1,power_cap,0,Healthy,0.7779147259600918,79.22085274039908,6,0,53.432101592981816,545.5782293450394,2
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.93980592194363,0,0,86.5650932925109,577.3916523602446,0
10,10.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.82504150405215,0,0,81.88531312377762,577.1921146682433,0
11,11.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.18862353357897,0,0,80.32230850555918,581.7554530722338,0
12,12.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.08538107160225,0,0,94.64983197582644,626.6953661692944,0
13,13.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.02587948604086,0,0,83.1924593514289,564.3031441219431,0
14,14.0,0,Healthy,0,keep_running,0,Healthy,1.2,59.46258648801096,0,0,92.67041965607004,578.2685716364563,0
15,15.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.86261064868698,0,0,87.72358187361638,607.6707437945836,0
16,16.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.739462142688694,0,0,88.87271708615339,633.2914180596609,0
17,17.0,0,Healthy,0,keep_running,0,Healthy,1.2,66.65758415447692,1,0,83.21889673107032,560.563785813033,0
18,18.0,0,Healthy,0,keep_running,0,Healthy,1.2,67.43784422322051,0,0,83.81370428553839,575.9284745578535,0
19,19.0,0,Healthy,0,keep_running,0,Healthy,1.2,68.98060862289317,0,0,83.8295550577231,592.0937861030075,0
20,20.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.53511574310384,0,0,87.7144701895855,590.8112157277204,0
21,21.0,0,Healthy,0,keep_running,1,Degraded,1.2,62.3193893403234,1,0,95.42741656935311,577.8030210229225,0
22,22.0,1,Degraded,0,keep_running,3,FailedRecoverable,-2.64,65.8828539368656,1,0,74.09918842889032,661.690839086307,0
23,23.0,3,FailedRecoverable,3,reboot,3,FailedRecoverable,-2.94,60.292554414851196,2,48,52.05564683207239,380.96532887986695,2
24,24.0,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,54.98069598340648,6,0,27.782552405244406,362.5820551743728,1
25,25.0,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,68.4334698477655,3,48,94.106881329067,645.6510782863566,0
26,26.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.39536908591654,0,0,86.88033688888363,562.9931942971903,0
27,27.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.05246460463229,0,0,89.44646337890612,620.0276406292636,0
28,28.0,0,Healthy,0,keep_running,1,Degraded,1.2,64.91336203510035,1,0,79.0947608180921,574.3636181382104,0
29,29.0,1,Degraded,0,keep_running,1,Degraded,1.2,71.7497892613765,1,0,75.47917453723186,656.0295222281527,0
