event_idx,time_hours,holding_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,28.026830521593155,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,63.15410913035047,0,0,81.0639453011743,613.7663506426456,0
1,28.026830521593155,1.5258789702024018,3,FailedRecoverable,3,reboot,0,Healthy,0.14126097362846646,85.58739026371533,7,48,1.126318184460935,117.9955174139665,0
2,29.552709491795557,5.571646075212713,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,70.45211088719896,0,0,88.29579367302682,588.5550815391679,0
3,35.12435556700827,0.8945423130985085,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,60.38188588212508,6,48,26.759262518442174,128.4555228434343,0
4,36.018897880106785,1.927862325303982,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,63.06973261284003,2,0,84.94439565548065,570.174217558105,0
5,37.94676020541077,1.5677004387907043,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8999999999999999,72.07865635920116,4,0,76.77237675644422,686.0747145528712,0
6,39.51446064420147,7.0881258814351975,0,Healthy,0,keep_running,1,Degraded,1.2,61.574562585957956,0,0,86.51474730090914,549.1533249481585,0
7,46.60258652563667,3.000866642096454,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,62.90478431861144,1,0,87.69218265473943,635.6059991700245,1
8,49.60345316773312,2.7678639006409447,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8485142759223592,78.51485724077641,4,31,74.66766943724875,585.052773227908,0
9,52.37131706837407,4.900902047871468,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,63.38153273211557,0,0,86.21993778451055,583.368751559001,0
10,57.27221911624554,0.17560635486114742,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,70.22543820886825,2,31,69.20448472746837,574.1469780374744,0
11,57.44782547110668,1.485047333052021,0,Healthy,0,keep_running,1,Degraded,1.2,62.59082773146102,0,0,94.53676420724055,667.6627693583306,0
12,58.932872804158706,1.7667158428837602,1,Degraded,0,keep_running,0,Healthy,1.2,71.46780401467046,2,0,82.58671270509316,651.216548198605,1
13,60.69958864704247,20.149069000370385,0,Healthy,0,keep_running,1,Degraded,1.2,57.743771346541656,1,0,78.53493260628578,640.5219131735134,0
14,80.84865764741285,4.309336982381661,1,Degraded,0,keep_running,0,Healthy,1.2,69.90915667028294,2,0,85.15677148891449,645.7293493722402,0
15,85.15799462979452,2.8419820937216995,0,Healthy,0,keep_running,1,Degraded,1.2,64.17232212408751,0,0,81.52966446824226,586.9065693847151,0
16,87.99997672351621,2.663623878938936,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,72.53163503172405,0,0,86.80879144161419,637.5366453516683,1
17,90.66360060245515,0.12009143857637591,2,MaintenanceRequired,1,power_cap,0,Healthy,0.7764284113257018,79.23571588674298,5,31,74.14533012476764,582.5611679036376,2
18,90.78369204103153,21.47242938870412,0,Healthy,0,keep_running,1,Degraded,1.2,62.011267078006135,1,0,84.35277839336823,586.8826480642483,0
19,112.25612142973566,0.956050071929334,1,Degraded,0,keep_running,0,Healthy,1.2,73.81352830919856,2,0,81.05545118922701,623.9639568105829,0
20,113.212171501665,1.768335779640602,0,Healthy,0,keep_running,1,Degraded,1.2,63.29835515799163,0,48,79.61420657762083,616.4649167473046,0
21,114.9805072813056,0.526788920814586,1,Degraded,1,power_cap,2,MaintenanceRequired,0.06,70.39364830225948,4,0,79.42168101144483,565.4819570929011,1
22,115.50729620212019,0.9539445790764344,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8169845635723333,78.83015436427667,2,31,76.84304364900315,626.2616774972977,0
23,116.46124078119662,2.944101567686532,0,Healthy,0,keep_running,1,Degraded,1.2,69.78184672809418,0,0,92.93309636590824,630.9984198619778,0
24,119.40534234888315,2.9633996239995946,1,Degraded,0,keep_running,0,Healthy,1.2,70.43279987172599,3,0,73.7562006740997,619.2464040887199,0
25,122.36874197288275,2.4623390749285163,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,64.18725976424064,0,0,81.91594997352095,559.7887357072693,0
26,124.83108104781127,1.9463113494781643,3,FailedRecoverable,3,reboot,0,Healthy,0.09056213351688303,86.09437866483117,5,79,45.1161183781012,48.33617669872217,1
27,126.77739239728943,10.703814106724042,0,Healthy,0,keep_running,1,Degraded,1.2,65.21835777611123,2,0,84.8303334107931,570.3346709453551,0
28,137.48120650401347,1.3208980916069646,1,Degraded,1,power_cap,3,FailedRecoverable,-2.94,72.94835429015721,4,0,70.73322966240806,575.9829978477187,1
29,138.80210459562045,1.757374761235644,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,63.347809521414135,7,48,38.52929977832498,181.57526627653743,1
30,140.5594793568561,0.9194665824249701,2,MaintenanceRequired,4,isolate_maintain,3,FailedRecoverable,-2.94,69.79701203132842,3,79,74.72993287263992,721.898581410955,0
31,141.47894593928106,0.9074977126360357,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,72.19687184831548,9,79,1.1601412558212276,238.423104963593,3
32,142.3864436519171,0.55691071252816,2,MaintenanceRequired,4,isolate_maintain,3,FailedRecoverable,-2.94,76.08690448060312,2,48,81.72845171247594,697.5128403393925,1
33,142.94335436444524,0.06413051414366416,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,67.17561374354973,6,79,30.707458694224655,287.6167001593793,1
34,143.0074848785889,4.8503110035777794,0,Healthy,0,keep_running,1,Degraded,1.2,58.56838083447927,0,0,89.07670402611106,588.6218399529342,0
35,147.8577958821667,7.425398681938774,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,74.42116244649094,2,0,77.56541121323896,722.6216975593513,0
36,155.2831945641055,0.28519419418096026,2,MaintenanceRequired,1,power_cap,0,Healthy,0.7183081770709008,79.81691822929099,3,48,65.11231661839972,673.5219394788721,1
37,155.56838875828646,2.724175258567923,0,Healthy,0,keep_running,1,Degraded,1.2,65.0360760943548,0,0,94.72849560517935,622.0757140442497,0
38,158.29256401685439,6.615566268842594,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,67.04905535900278,1,0,72.79336232067843,610.1556927382217,0
39,164.90813028569698,0.6311529668289844,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,74.21546334299447,3,0,65.67271086494631,540.0194914740664,0
40,165.53928325252596,10.936949742039129,0,Healthy,0,keep_running,1,Degraded,1.2,60.05319538960439,1,0,77.57130073711438,564.9889459461585,0
41,176.4762329945651,0.0499372941258244,1,Degraded,0,keep_running,3,FailedRecoverable,-2.64,71.78151189845026,3,0,84.57779679391285,602.7950374805685,0
42,176.5261702886909,0.9975840738949792,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,64.34517112795876,9,31,0.0,329.6504545278269,2
43,177.5237543625859,6.136568401464325,0,Healthy,0,keep_running,1,Degraded,1.2,56.78557262495439,0,0,88.16977568514802,594.7375823255966,0
44,183.66032276405022,3.3249410657586154,1,Degraded,0,keep_running,3,FailedRecoverable,-2.64,76.11171023510968,1,48,73.17649700544136,555.9282946915653,0
45,186.98526382980884,0.298032790814477,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,59.933461529366866,4,79,13.30686137881796,297.32958624602094,1
46,187.28329662062333,3.40167772743474,0,Healthy,0,keep_running,1,Degraded,1.2,59.709853136537824,0,48,87.00316283689507,566.7932685364942,0
47,190.68497434805806,3.682017414822644,1,Degraded,0,keep_running,0,Healthy,1.2,73.35852498183098,0,0,89.97903298758452,576.4946689775464,0
48,194.3669917628807,11.303914253950548,0,Healthy,0,keep_running,4,FailedPermanent,-14.64,60.848139032986786,0,0,82.76905401188291,570.1790100480082,0
