step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.337201838489335,0,0,95.89562991369294,537.3800190407505,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.66908320403669,0,31,95.53418653566384,636.1488458812745,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.4355419755182,0,0,79.83873599413093,635.1774986335038,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.6393420706578,0,0,90.63721518238901,584.5780490359786,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,58.50248139148764,0,0,81.66001301838114,596.6460939618676,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,68.56248818074405,0,0,81.29952643388738,584.8615873841376,0
6,6.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.850443129465624,0,0,90.8664576351979,696.4918336063331,0
7,7.0,0,Healthy,0,keep_running,0,Healthy,1.2,68.31970477801681,0,0,74.26920514532932,572.3579918769124,0
8,8.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.07789301718464,2,0,80.37832838902622,574.5666180789443,0
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,67.9671634809481,0,0,89.63603130209277,532.7888329520216,0
10,10.0,0,Healthy,0,keep_running,1,Degraded,1.2,62.351343560897334,0,0,91.81488838682084,503.4574796668347,0
11,11.0,1,Degraded,0,keep_running,1,Degraded,1.2,67.02032359092999,3,0,87.7451013038862,626.4456899959489,0
12,12.0,1,Degraded,0,keep_running,0,Healthy,1.2,67.41532102990492,0,31,81.61502540161088,597.2147830995409,1
13,13.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.128804701292296,0,0,92.391357192522,572.6957238200407,0
14,14.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.51232446677366,1,0,86.24281597130627,622.7102986766389,0
15,15.0,0,Healthy,0,keep_running,1,Degraded,1.2,63.74112426626401,0,0,91.16617366210191,632.1600294434979,0
16,16.0,1,Degraded,0,keep_running,1,Degraded,1.2,68.62012353588982,0,0,79.36940178376649,545.8165462931339,0
17,17.0,1,Degraded,0,keep_running,1,Degraded,1.2,68.55806048918515,1,0,74.53274516384676,657.2136131917916,0
18,18.0,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,62.67633009766732,3,31,87.70151224457457,630.1945214772676,0
19,19.0,2,MaintenanceRequired,1,power_cap,4,FailedPermanent,-15.422933485559655,82.82933485559654,4,48,92.72256097813137,637.1508263932676,0
20,20.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,47.30903194053052,14,79,0.0,99.90429480208068,3
21,21.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,42.82746422252911,14,48,0.0,81.57181370918471,2
22,22.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,39.60568480679037,13,48,0.0,84.81863851584377,1
23,23.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,42.59170254863366,9,79,0.0,111.27315001780958,0
24,24.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,47.43220406345816,9,79,0.0,69.06849193281697,5
25,25.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,62.09345958183499,9,31,0.3385777802007255,49.948497170367,4
26,26.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,35.92211216640378,7,79,0.0,111.36425072155984,4
27,27.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,39.62858315447486,5,79,1.088556505353512,68.1108362993527,1
28,28.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,51.05944516244098,17,79,2.6975171605307255,67.2392136175977,2
29,29.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,27.448685755157758,10,79,4.78129235141952,20.489007564644368,0
30,30.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,30.843238725369517,10,79,7.801822341587429,69.07243786693473,2
31,31.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,26.249668794220185,8,79,6.357053761770414,0.0,3
32,32.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,54.03518367534752,6,48,2.1876096311255147,41.224133885985296,0
33,33.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,40.39146320405729,8,31,12.744720754867403,28.236114750817038,2
34,34.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,32.08853264865896,13,79,0.0,34.874394595965605,1
35,35.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,33.531759112954155,8,31,8.804586360862922,48.765088833755726,2
36,36.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,30.64361755245666,11,48,7.292221931452769,100.9596132228507,1
37,37.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,43.08710093079199,16,79,0.0,74.66442892264548,1
38,38.0,4,FailedPermanent,1,power_cap,4,FailedPermanent,-14.940000000000001,18.733072177080277,9,48,2.415317733768808,69.44563111767025,0
