event_idx,time_hours,holding_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,3.1346212048860322,0,Healthy,0,keep_running,1,Degraded,1.2,64.58269642903764,0,0,75.81773852452177,624.5875193330522,1
1,3.1346212048860322,21.097747627864575,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,62.94162523060981,1,0,83.74909370741815,637.7076239734691,0
2,24.232368832750605,1.4180674931950172,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8999999999999999,74.46761158612803,5,0,82.53710785768412,626.8601578715572,1
3,25.650436325945623,3.713044548711328,0,Healthy,0,keep_running,1,Degraded,1.2,62.83472714470129,0,0,70.87461902930703,543.3621249414126,0
4,29.36348087465695,0.4018483998569688,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,69.78289371618665,3,0,74.37216159145302,549.5571267490685,0
5,29.76532927451392,0.8405234144214655,2,MaintenanceRequired,1,power_cap,0,Healthy,0.7959851143039045,79.04014885696095,5,0,73.8089437949927,579.8399759498908,0
6,30.605852688935386,0.00023332933327284788,0,Healthy,0,keep_running,1,Degraded,1.2,61.04676428899564,0,0,93.243289252974,611.3819895595124,0
7,30.60608601826866,1.779122349923052,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,73.26315291663546,0,0,86.28396690953224,695.7580847361279,0
8,32.38520836819171,0.09391682093083924,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8999999999999999,75.89969679169695,4,31,84.51324155544985,466.34183263532844,0
9,32.47912518912255,42.95258911816477,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,59.72300390178931,0,0,81.60722311314643,630.2406506955945,0
10,75.43171430728731,1.8447854981536296,2,MaintenanceRequired,1,power_cap,0,Healthy,0.64805145080864,80.5194854919136,3,0,62.76032910744785,615.4227166859158,1
11,77.27649980544093,5.286419506927757,0,Healthy,0,keep_running,1,Degraded,1.2,64.63831596266614,0,0,95.02140257324852,584.2104016857099,0
12,82.56291931236869,4.089796189472182,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,71.9297451384265,2,48,72.91690985712505,671.822240620567,0
13,86.65271550184087,0.24429840157267066,2,MaintenanceRequired,1,power_cap,0,Healthy,0.850001033135112,78.49998966864888,8,48,76.29982832518002,635.2306503125208,1
14,86.89701390341354,38.07815592483116,0,Healthy,0,keep_running,1,Degraded,1.2,64.53400522321277,0,0,86.93911878866878,539.467226201865,0
15,124.9751698282447,2.6705167645010355,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,69.54522683455674,2,31,88.86704554077049,569.0955447956984,0
16,127.64568659274573,0.7989656854799265,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,76.77207495412874,2,79,81.6801984214085,530.7222621348559,1
17,128.44465227822565,1.6236224612384975,0,Healthy,0,keep_running,1,Degraded,1.2,64.5815655939477,0,48,89.139944460412,522.4788480627108,0
18,130.06827473946416,3.174746397374412,1,Degraded,0,keep_running,0,Healthy,1.2,72.45010501446903,2,0,83.8259066871157,694.7810407727975,0
19,133.24302113683856,3.1060795651464694,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,61.38036695839757,0,0,79.3127950646684,576.5747191715352,0
20,136.34910070198504,0.48383586356318836,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,62.09125926493638,10,48,13.68987945949322,196.1087347180436,2
21,136.83293656554824,11.830295601071295,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,68.52114861653831,0,0,91.70409292994773,576.049925278846,0
22,148.66323216661954,2.979642495624927,2,MaintenanceRequired,1,power_cap,0,Healthy,0.3765524861516225,83.23447513848377,6,0,74.93214784008893,639.458263682724,0
23,151.64287466224445,9.164207556982715,0,Healthy,0,keep_running,4,FailedPermanent,-14.64,60.314808613624024,0,0,95.19468537577438,581.1280841188027,0
