step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.11039404754278,0,0,91.6234898142099,590.422207686969,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.92554985448215,0,0,88.59406706661757,573.7480705569535,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.40324752831617,0,0,83.822668720086,593.7802623337234,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.99458672260328,0,0,87.17781246916222,592.3348855264296,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.2648092857981,0,0,88.17254914453724,602.6209951238488,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.70364354891129,0,0,88.88062915635714,574.8766894265159,0
6,6.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.94247461068976,0,0,89.02222335812992,595.2209681629085,0
7,7.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.1020547572174,1,0,82.97724720514015,556.597725938859,0
8,8.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.7105281754101,0,0,84.23772514515487,599.6046728508525,0
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.369146498277104,0,0,86.62490595432838,562.5590398183803,0
10,10.0,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,59.08169447380193,0,0,92.07694885151966,592.3799189894557,0
11,11.0,2,MaintenanceRequired,1,power_cap,2,MaintenanceRequired,-0.10759069551705891,79.67590695517059,3,48,60.18433856901336,661.3352573201489,0
12,12.0,2,MaintenanceRequired,1,power_cap,0,Healthy,0.12100176351613068,85.78998236483869,5,0,54.18723174317405,598.3576123212206,1
13,13.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.06146543390326,0,0,90.7007133739415,634.5002510978813,0
14,14.0,0,Healthy,0,keep_running,0,Healthy,1.2,65.02373860826981,0,0,91.16062770846418,539.5365405221997,0
