event_idx,time_hours,holding_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,10.237404715338865,0,Healthy,0,keep_running,1,Degraded,1.2,61.26596693514644,1,0,94.34457388858259,610.705001410423,0
1,10.237404715338865,3.5607415896217667,1,Degraded,0,keep_running,0,Healthy,1.2,68.64976259194192,3,0,72.44716475753718,519.8198354750359,0
2,13.798146304960632,4.769294896517548,0,Healthy,0,keep_running,2,MaintenanceRequired,0.36,61.22736697493767,0,0,83.7683477811527,589.1778020963557,0
3,18.56744120147818,0.44357603500759835,2,MaintenanceRequired,4,isolate_maintain,0,Healthy,0.8999999999999999,71.8048644218743,3,0,78.07090121799439,594.3523416045183,1
4,19.011017236485777,23.41277504896599,0,Healthy,0,keep_running,1,Degraded,1.2,68.13451891700647,2,0,85.66003354943565,592.4118470429568,0
5,42.42379228545177,3.5972136895467983,1,Degraded,0,keep_running,0,Healthy,1.2,72.44601270064308,0,0,88.19467790192908,573.2260758758978,0
6,46.021005974998566,9.533738060501163,0,Healthy,0,keep_running,1,Degraded,1.2,62.344256291216674,0,0,89.79545320131784,592.0016476856734,0
7,55.55474403549973,0.6329591395004218,1,Degraded,0,keep_running,0,Healthy,1.2,72.69348905626572,2,0,71.6798274686999,661.6559995907015,1
8,56.18770317500015,0.3024476249312577,0,Healthy,0,keep_running,1,Degraded,1.2,68.2595972930317,1,0,91.65561983880797,641.4338003349562,0
9,56.490150799931406,12.134604719419459,1,Degraded,0,keep_running,0,Healthy,1.2,69.66518129123949,3,0,90.04132999942668,621.9680854157373,3
10,68.62475551935087,27.814854801318745,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,60.068380711432646,1,0,91.21634399378931,591.9546985804066,0
11,96.43961032066962,0.7805947661660615,3,FailedRecoverable,3,reboot,2,MaintenanceRequired,0.06,61.89761583343827,6,31,26.54831790385453,283.39871135009486,2
12,97.22020508683568,3.7265191115898704,2,MaintenanceRequired,1,power_cap,0,Healthy,0.6960213661123617,80.03978633887638,8,31,78.60529566195932,589.1169438954574,0
13,100.94672419842554,15.83880910893878,0,Healthy,0,keep_running,1,Degraded,1.2,64.50410941912006,0,0,84.68095133291541,574.001545383441,0
