step,time_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.68060155842049,0,0,86.95092477768536,590.0188276128905,0
1,1.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.12447556962597,1,0,84.93572397588517,586.9116487698061,0
2,2.0,0,Healthy,0,keep_running,0,Healthy,1.2,68.44481945430573,0,0,91.75415913446305,601.584794507473,0
3,3.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.23944293491184,1,0,91.55943720847937,645.0622148725976,0
4,4.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.58335089908128,0,0,84.74088637742346,619.6505803727122,0
5,5.0,0,Healthy,0,keep_running,0,Healthy,1.2,57.80186410111242,0,0,86.74862320696995,573.4872980956197,0
6,6.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.24890673918566,0,0,83.32660773348084,543.4067925932891,0
7,7.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.37251636196528,1,0,89.73806084210393,574.4643437271875,0
8,8.0,0,Healthy,0,keep_running,0,Healthy,1.2,64.0042827629913,0,31,83.56691021376949,645.3299281037656,0
9,9.0,0,Healthy,0,keep_running,0,Healthy,1.2,61.60245440997877,2,0,90.57904260419672,569.5710890025775,0
10,10.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.0082015139069,0,0,88.71371600878933,647.7787849502912,0
11,11.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.31830677801629,0,31,82.64389345421655,563.1821360259988,0
12,12.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.38589236087769,0,0,80.41343138071825,628.7466234105374,0
13,13.0,0,Healthy,0,keep_running,0,Healthy,1.2,60.313210502157816,0,0,76.30373981526947,615.2391023931509,0
14,14.0,0,Healthy,0,keep_running,0,Healthy,1.2,63.34114793721814,0,0,85.84646713506143,591.2013353014091,0
15,15.0,0,Healthy,0,keep_running,1,Degraded,1.2,65.73876437846697,0,0,79.94689931011108,524.2046779642253,0
16,16.0,1,Degraded,0,keep_running,1,Degraded,1.2,77.52273971710713,0,31,90.53645920349918,675.1717072636594,0
17,17.0,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,67.76208161343926,2,0,74.92433395927453,650.6186756888286,0
18,18.0,2,MaintenanceRequired,1,power_cap,2,MaintenanceRequired,-0.3658673507050787,82.25867350705079,3,0,81.46976228963621,746.9068219253608,0
19,19.0,2,MaintenanceRequired,1,power_cap,0,Healthy,0.8999999999999999,69.65569093714888,7,0,65.79394240314704,628.1872645181452,0
20,20.0,0,Healthy,0,keep_running,0,Healthy,1.2,69.70613997770124,0,0,79.4358895647245,562.4992630870931,0
21,21.0,0,Healthy,0,keep_running,0,Healthy,1.2,62.473217435921846,1,0,90.41964718725055,590.1600101565398,0
