event_idx,time_hours,holding_hours,state_idx,state,action_idx,action,next_state_idx,next_state,reward,temperature,ecc_count,xid_code,utilization,power_usage,retired_pages
0,0.0,2.4321726506132477,0,Healthy,0,keep_running,1,Degraded,1.2,63.097034838487325,2,0,93.58394166958584,607.4011748238148,0
1,2.4321726506132477,6.251696602780887,1,Degraded,0,keep_running,0,Healthy,1.2,69.26310093741353,2,0,76.98309668947735,652.2756674212986,0
2,8.683869253394136,4.833520866744158,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,64.3801530212151,0,0,84.15547053813223,571.1845224850229,0
3,13.517390120138295,0.6188307778630705,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,60.35797224491824,12,48,8.185222624765288,311.55633338521756,2
4,14.136220898001365,34.92935789729632,0,Healthy,0,keep_running,1,Degraded,1.2,67.32587327707456,0,0,91.45930557733735,579.5224186174396,0
5,49.06557879529768,0.18790300939458587,1,Degraded,0,keep_running,0,Healthy,1.2,68.47689052452358,0,0,79.74264939723909,641.237314279624,0
6,49.25348180469227,2.9229907621144147,0,Healthy,0,keep_running,3,FailedRecoverable,-2.64,65.56096326758252,0,0,84.88855770083451,645.0563402071209,0
7,52.17647256680669,3.7523130760784977,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,60.35336152621737,9,79,32.40208415076252,465.18099235844335,1
8,55.92878564288519,8.440561387693826,0,Healthy,0,keep_running,1,Degraded,1.2,59.21744233672254,0,0,90.73745984030661,631.5431552084045,0
9,64.36934703057901,3.7307225435544993,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,75.69887463439424,0,0,92.25191595748348,621.2092600511253,0
10,68.1000695741335,1.4743687060731536,2,MaintenanceRequired,1,power_cap,3,FailedRecoverable,-2.953292087284968,78.13292087284968,6,0,77.10581958136743,624.9978288719129,0
11,69.57443828020665,4.6945571307655225,3,FailedRecoverable,3,reboot,0,Healthy,0.8999999999999999,67.6408489092501,13,31,10.426681954505028,212.05153921226534,0
12,74.26899541097217,3.3071671422158633,0,Healthy,0,keep_running,1,Degraded,1.2,62.08631975180412,0,0,91.66400795681778,561.6988799899702,0
13,77.57616255318803,7.556629975537285,1,Degraded,0,keep_running,2,MaintenanceRequired,0.36,70.94250699309582,0,31,75.86148056119723,584.1366682928854,0
14,85.13279252872532,0.600512854558058,2,MaintenanceRequired,1,power_cap,0,Healthy,0.5260873016133941,81.73912698386606,5,0,65.18647864913733,700.5904014728029,0
15,85.73330538328338,9.890767787826782,0,Healthy,0,keep_running,4,FailedPermanent,-14.64,65.74828129814361,0,0,83.50330098823547,634.578322785024,0
